fecha	Open
2021-11-10	MUY ALTO
2021-11-11	MUY ALTO
2021-11-12	MUY ALTO
2021-11-13	MUY ALTO
2021-11-14	MUY ALTO
2021-11-15	MUY ALTO
2021-11-16	ALTO
2021-11-17	ALTO
2021-11-18	ALTO
2021-11-19	ALTO
2021-11-20	ALTO
2021-11-21	ALTO
2021-11-22	ALTO
2021-11-23	ALTO
2021-11-24	ALTO
2021-11-25	ALTO
2021-11-26	ALTO
2021-11-27	ALTO
2021-11-28	ALTO
2021-11-29	ALTO
2021-11-30	ALTO
2021-12-01	MUY ALTO
2021-12-02	ALTO
2021-12-03	ALTO
2021-12-04	ALTO
2021-12-05	ALTO
2021-12-06	ALTO
2021-12-07	ALTO
2021-12-08	ALTO
2021-12-09	ALTO
2021-12-10	ALTO
2021-12-11	ALTO
2021-12-12	ALTO
2021-12-13	ALTO
2021-12-14	ALTO
2021-12-15	ALTO
2021-12-16	ALTO
2021-12-17	ALTO
2021-12-18	ALTO
2021-12-19	ALTO
2021-12-20	ALTO
2021-12-21	ALTO
2021-12-22	ALTO
2021-12-23	ALTO
2021-12-24	ALTO
2021-12-25	ALTO
2021-12-26	ALTO
2021-12-27	ALTO
2021-12-28	ALTO
2021-12-29	ALTO
2021-12-30	ALTO
2021-12-31	ALTO
2022-01-01	ALTO
2022-01-02	ALTO
2022-01-03	ALTO
2022-01-04	ALTO
2022-01-05	ALTO
2022-01-06	ALTO
2022-01-07	ALTO
2022-01-08	ALTO
2022-01-09	MEDIO
2022-01-10	ALTO
2022-01-11	MEDIO
2022-01-12	ALTO
2022-01-13	ALTO
2022-01-14	ALTO
2022-01-15	ALTO
2022-01-16	ALTO
2022-01-17	ALTO
2022-01-18	ALTO
2022-01-19	ALTO
2022-01-20	MEDIO
2022-01-21	MEDIO
2022-01-22	MEDIO
2022-01-23	MEDIO
2022-01-24	MEDIO
2022-01-25	MEDIO
2022-01-26	MEDIO
2022-01-27	MEDIO
2022-01-28	MEDIO
2022-01-29	MEDIO
2022-01-30	MEDIO
2022-01-31	MEDIO
2022-02-01	MEDIO
2022-02-02	MEDIO
2022-02-03	MEDIO
2022-02-04	MEDIO
2022-02-05	MEDIO
2022-02-06	MEDIO
2022-02-07	MEDIO
2022-02-08	ALTO
2022-02-09	ALTO
2022-02-10	ALTO
2022-02-11	MEDIO
2022-02-12	MEDIO
2022-02-13	MEDIO
2022-02-14	MEDIO
2022-02-15	MEDIO
2022-02-16	ALTO
2022-02-17	ALTO
2022-02-18	MEDIO
2022-02-19	MEDIO
2022-02-20	MEDIO
2022-02-21	MEDIO
2022-02-22	MEDIO
2022-02-23	MEDIO
2022-02-24	MEDIO
2022-02-25	MEDIO
2022-02-26	MEDIO
2022-02-27	MEDIO
2022-02-28	MEDIO
2022-03-01	MEDIO
2022-03-02	MEDIO
2022-03-03	MEDIO
2022-03-04	MEDIO
2022-03-05	MEDIO
2022-03-06	MEDIO
2022-03-07	MEDIO
2022-03-08	MEDIO
2022-03-09	MEDIO
2022-03-10	MEDIO
2022-03-11	MEDIO
2022-03-12	MEDIO
2022-03-13	MEDIO
2022-03-14	MEDIO
2022-03-15	MEDIO
2022-03-16	MEDIO
2022-03-17	MEDIO
2022-03-18	MEDIO
2022-03-19	MEDIO
2022-03-20	MEDIO
2022-03-21	MEDIO
2022-03-22	MEDIO
2022-03-23	MEDIO
2022-03-24	MEDIO
2022-03-25	ALTO
2022-03-26	ALTO
2022-03-27	ALTO
2022-03-28	ALTO
2022-03-29	ALTO
2022-03-30	ALTO
2022-03-31	ALTO
2022-04-01	ALTO
2022-04-02	ALTO
2022-04-03	ALTO
2022-04-04	ALTO
2022-04-05	ALTO
2022-04-06	ALTO
2022-04-07	ALTO
2022-04-08	ALTO
2022-04-09	ALTO
2022-04-10	ALTO
2022-04-11	ALTO
2022-04-12	MEDIO
2022-04-13	MEDIO
2022-04-14	ALTO
2022-04-15	MEDIO
2022-04-16	MEDIO
2022-04-17	MEDIO
2022-04-18	MEDIO
2022-04-19	MEDIO
2022-04-20	ALTO
2022-04-21	MEDIO
2022-04-22	MEDIO
2022-04-23	MEDIO
2022-04-24	MEDIO
2022-04-25	MEDIO
2022-04-26	MEDIO
2022-04-27	MEDIO
2022-04-28	MEDIO
2022-04-29	MEDIO
2022-04-30	MEDIO
2022-05-01	MEDIO
2022-05-02	MEDIO
2022-05-03	MEDIO
2022-05-04	MEDIO
2022-05-05	MEDIO
2022-05-06	MEDIO
2022-05-07	MEDIO
2022-05-08	MEDIO
2022-05-09	MEDIO
2022-05-10	MEDIO
2022-05-11	MEDIO
2022-05-12	BAJO
2022-05-13	BAJO
2022-05-14	BAJO
2022-05-15	BAJO
2022-05-16	MEDIO
2022-05-17	BAJO
2022-05-18	BAJO
2022-05-19	BAJO
2022-05-20	BAJO
2022-05-21	BAJO
2022-05-22	BAJO
2022-05-23	BAJO
2022-05-24	BAJO
2022-05-25	BAJO
2022-05-26	BAJO
2022-05-27	BAJO
2022-05-28	BAJO
2022-05-29	BAJO
2022-05-30	BAJO
2022-05-31	BAJO
2022-06-01	BAJO
2022-06-02	BAJO
2022-06-03	BAJO
2022-06-04	BAJO
2022-06-05	BAJO
2022-06-06	BAJO
2022-06-07	BAJO
2022-06-08	BAJO
2022-06-09	BAJO
2022-06-10	BAJO
2022-06-11	BAJO
2022-06-12	BAJO
2022-06-13	BAJO
2022-06-14	BAJO
2022-06-15	BAJO
2022-06-16	BAJO
2022-06-17	MUY BAJO
2022-06-18	MUY BAJO
2022-06-19	MUY BAJO
2022-06-20	MUY BAJO
2022-06-21	MUY BAJO
2022-06-22	MUY BAJO
2022-06-23	MUY BAJO
2022-06-24	MUY BAJO
2022-06-25	BAJO
2022-06-26	BAJO
2022-06-27	MUY BAJO
2022-06-28	MUY BAJO
2022-06-29	MUY BAJO
2022-06-30	MUY BAJO
2022-07-01	MUY BAJO
2022-07-02	MUY BAJO
2022-07-03	MUY BAJO
2022-07-04	MUY BAJO
2022-07-05	MUY BAJO
2022-07-06	MUY BAJO
2022-07-07	MUY BAJO
2022-07-08	BAJO
2022-07-09	BAJO
2022-07-10	BAJO
2022-07-11	MUY BAJO
2022-07-12	MUY BAJO
2022-07-13	MUY BAJO
2022-07-14	MUY BAJO
2022-07-15	MUY BAJO
2022-07-16	BAJO
2022-07-17	BAJO
2022-07-18	BAJO
2022-07-19	BAJO
2022-07-20	BAJO
2022-07-21	BAJO
2022-07-22	BAJO
2022-07-23	BAJO
2022-07-24	BAJO
2022-07-25	BAJO
2022-07-26	BAJO
2022-07-27	BAJO
2022-07-28	BAJO
2022-07-29	BAJO
2022-07-30	BAJO
2022-07-31	BAJO
2022-08-01	BAJO
2022-08-02	BAJO
2022-08-03	BAJO
2022-08-04	BAJO
2022-08-05	BAJO
2022-08-06	BAJO
2022-08-07	BAJO
2022-08-08	BAJO
2022-08-09	BAJO
2022-08-10	BAJO
2022-08-11	BAJO
2022-08-12	BAJO
2022-08-13	BAJO
2022-08-14	BAJO
2022-08-15	BAJO
2022-08-16	BAJO
2022-08-17	BAJO
2022-08-18	BAJO
2022-08-19	BAJO
2022-08-20	BAJO
2022-08-21	BAJO
2022-08-22	BAJO
2022-08-23	BAJO
2022-08-24	BAJO
2022-08-25	BAJO
2022-08-26	BAJO
2022-08-27	BAJO
2022-08-28	BAJO
2022-08-29	BAJO
2022-08-30	BAJO
2022-08-31	BAJO
2022-09-01	BAJO
2022-09-02	BAJO
2022-09-03	BAJO
2022-09-04	BAJO
2022-09-05	BAJO
2022-09-06	BAJO
2022-09-07	BAJO
2022-09-08	BAJO
2022-09-09	BAJO
2022-09-10	BAJO
2022-09-11	BAJO
2022-09-12	BAJO
2022-09-13	BAJO
2022-09-14	BAJO
2022-09-15	BAJO
2022-09-16	BAJO
2022-09-17	BAJO
2022-09-18	BAJO
2022-09-19	BAJO
2022-09-20	BAJO
2022-09-21	BAJO
2022-09-22	BAJO
2022-09-23	BAJO
2022-09-24	BAJO
2022-09-25	BAJO
2022-09-26	BAJO
2022-09-27	BAJO
2022-09-28	BAJO
2022-09-29	BAJO
2022-09-30	BAJO
2022-10-01	BAJO
2022-10-02	BAJO
2022-10-03	BAJO
2022-10-04	BAJO
2022-10-05	BAJO
2022-10-06	BAJO
2022-10-07	BAJO
2022-10-08	BAJO
2022-10-09	BAJO
2022-10-10	BAJO
2022-10-11	BAJO
2022-10-12	BAJO
2022-10-13	BAJO
2022-10-14	BAJO
2022-10-15	BAJO
2022-10-16	BAJO
2022-10-17	BAJO
2022-10-18	BAJO
2022-10-19	BAJO
2022-10-20	BAJO
2022-10-21	BAJO
2022-10-22	BAJO
2022-10-23	BAJO
2022-10-24	BAJO
2022-10-25	BAJO
2022-10-26	BAJO
2022-10-27	BAJO
2022-10-28	BAJO
2022-10-29	BAJO
2022-10-30	BAJO
2022-10-31	BAJO
2022-11-01	BAJO
2022-11-02	BAJO
2022-11-03	BAJO
2022-11-04	BAJO
2022-11-05	BAJO
2022-11-06	BAJO
2022-11-07	BAJO
2022-11-08	BAJO
2022-11-09	BAJO
